source_genesymbol	is_directed	target_genesymbol
LCK	1	TRPV4
LYN	1	TRPV4
MAP7	1	TRPV4
OS9	1	TRPV4
PACSIN3	1	TRPV4
SRC	1	TRPV4
PKD2	1	TRPV4
TRPV4	1	PKD2
YES1	1	TRPV4
BSPRY	1	TRPV5
CALB1	1	TRPV5
CALM1	1	TRPV5
CALM3	1	TRPV5
CALM2	1	TRPV5
PPIB	1	TRPV5
FKBP4	1	TRPV5
KL	1	TRPV5
RAB11A	1	TRPV5
S100A10	1	TRPV5
TGM2	1	TRPV5
MCOLN3	1	TRPV5
TRPV5	1	MCOLN3
TRPV6	1	TRPV5
TRPV5	1	TRPV6
CALM1	1	TRPV6
CALM3	1	TRPV6
CALM2	1	TRPV6
PPIB	1	TRPV6
FYN	1	TRPV6
KL	1	TRPV6
PDZD3	1	TRPV6
NIPSNAP1	1	TRPV6
NUMB	1	TRPV6
PTPN1	1	TRPV6
RAB11A	1	TRPV6
RGS2	1	TRPV6
S100A10	1	TRPV6
SRC	1	TRPV6
NYX	1	TRPM1
CALM1	1	TRPM2
CALM3	1	TRPM2
CALM2	1	TRPM2
EFHC1	1	TRPM2
PTPN13	1	TRPM2
CALM1	1	TRPM4
CALM3	1	TRPM4
CALM2	1	TRPM4
RACK1	1	TRPM6
PHB2	1	TRPM6
TRPM7	1	TRPM6
TRPM6	1	TRPM7
TRPM7	1	ANXA1
TRPM7	1	MYH9
RACK1	1	TRPM7
HTR1B	1	TRPM8
OPRM1	1	TRPM8
PRKACA	1	MCOLN1
MCOLN2	1	MCOLN1
MCOLN1	1	MCOLN2
MCOLN3	1	MCOLN1
MCOLN1	1	MCOLN3
MCOLN2	1	MCOLN3
PRKCSH	1	PKD2
KIF3A	1	PKD2
PKD1	1	PKD2
STX5	1	PKD2
PKD1	1	PKD2L1
PKD1L3	1	PKD2L1
TNNI1	1	PKD2L1
TNNI3	1	PKD2L1
RACK1	1	PKD2L2
CYLD	1	TRPA1
PRKACA	1	PKD2
CASP3	1	EIF3J
CASP3	1	ITGB4
MAPKAPK2	1	MAPK14
MAPK14	1	MAPKAPK2
MAPKAPK2	1	HNRNPA0
TIA1	1	GADD45A
HNRNPD	1	GADD45A
MAPKAPK2	1	PARN
HNRNPA0	1	GADD45A
JAK2	1	EPOR
EPOR	1	JAK2
ESPN	1	MYO15A
GJB6	1	GJB2
GJB2	1	GJB6
MAPK14	1	TIAL1
PARN	1	GADD45A
NUMB	1	NOTCH1
TIAL1	1	GADD45A
ZIC1	1	ATOH1
MAPK14	1	ZFP36
HES5	1	ATOH1
ATOH1	1	HES5
MAPKAPK2	1	ZFP36
NOTCH1	1	JAG2
JAG2	1	NOTCH1
DLL1	1	NOTCH1
NOTCH1	1	DLL1
SIX1	1	LFNG
SIX1	1	OTX2
SIX1	1	HMX3
SIX1	1	DLX5
SIX1	1	OTX1
SIX1	1	DACH1
SIX1	1	DACH2
MYO7A	1	PCDH15
PCDH15	1	MYO7A
GABPA	1	TXNRD1
GABPA	1	TXN
MAPK3	1	GABPA
MAPK1	1	GABPA
TUB	1	MAPK1
TUB	1	MAPK3
PROX1	1	GFI1
GFI1	1	CDKN1C
KEAP1	1	GABPA
PROX1	1	ATOH1
GATA3	1	FGF10
IGF2BP1	1	BTRC
PAX3	1	DACH2
DACH2	1	PAX3
NFAT5	1	AKR1B1
FOXI1	1	PAX8
FGF3	1	FOXI1
NFAT5	1	SLC6A12
CHUK	1	AKT1
AKT1	1	CHUK
NFAT5	1	SLC5A3
CHUK	1	NFKB1
NFKB1	1	CHUK
PIK3R1	1	AKT1
AKT1	1	PIK3R1
CDC73	1	CPSF3
SYMPK	1	CSTF1
CDK1	1	RRM2
CASP3	1	ACIN1
CDK1	1	CDKN1A
CDKN1A	1	CDK1
TP53	1	PRC1
TP53	1	ATF3
ATF3	1	TP53
ATM	1	TERF2
TERF2	1	ATM
MYCN	1	MCM6
MDM2	1	RRM2B
ATR	1	XPA
MYCN	1	MCM4
MYCN	1	MCM5
MYCN	1	MCM2
MYCN	1	MCM3
E2F1	1	CDCA4
CDCA4	1	E2F1
KLF2	1	CXCR4
IGF1	1	IGF1R
IGF1R	1	IGF1
CCL2	1	MMP14
MMP14	1	MMP2
ABL1	1	TP73
ABL1	1	PRKDC
PRKDC	1	ABL1
MYCN	1	MCM7
MYCN	1	MCM8
ARNTL	1	CRY2
CRY2	1	ARNTL
ARNTL	1	CRY1
CRY1	1	ARNTL
NPAS2	1	PER2
NPAS2	1	PER1
ATAD2	1	ESR1
ATAD2	1	E2F1
USP28	1	CLSPN
PRKN	1	CCNE1
PCNA	1	POLI
PRKN	1	SEPT5
PCNA	1	POLH
MYCN	1	TP53
ATAD2	1	MYC
ATAD2	1	AR
USP7	1	MDM2
USP7	1	MDM4
RELA	1	PTEN
RBL1	1	E2F4
E2F4	1	RBL1
RBL2	1	E2F5
RBL2	1	E2F4
MDC1	1	TP53BP1
RNF8	1	HIST2H2AC
MDC1	1	RNF8
PRKN	1	RANBP2
PRKN	1	PUF60
PRKN	1	SNCAIP
DCLRE1C	1	XRCC4
PRKN	1	CTNNB1
PRKN	1	JUN
PRKN	1	HSPA1B
PRKN	1	ATXN2
BACE2	1	APP
PRKN	1	SNCA
BACE1	1	APP
XRCC4	1	PNKP
TP53BP1	1	HDAC4
ADAM10	1	APP
PTEN	1	PREX2
PREX2	1	PTEN
PINK1	1	TRAP1
PTPRD	1	STAT3
XRCC1	1	PNKP
RAF1	1	PEBP1
PEBP1	1	RAF1
USP28	1	FBXW7
CDK2	1	MYC
HBP1	1	MYC
RPL11	1	TRRAP
TRRAP	1	MYC
MYC	1	JAG2
FBXW7	1	MYC
PAK1	1	PXN
CASP3	1	PRKDC
PRKDC	1	CASP3
CASP3	1	GSN
SMG1	1	UPF1
ATM	1	USP28
MAPK8	1	MAP2K4
MAP2K4	1	MAPK8
ATG13	1	ULK1
ULK1	1	ATG13
ULK1	1	RB1CC1
RB1CC1	1	ULK1
MTOR	1	ATG13
UVRAG	1	SH3GLB1
SH3GLB1	1	UVRAG
ATG13	1	RB1CC1
MTOR	1	ULK2
BECN1	1	PIK3R4
RAC1	1	TIAM1
TIAM1	1	RAC1
HRAS	1	TIAM1
TIAM1	1	HRAS
ATG12	1	ATG10
ATG10	1	ATG12
MTOR	1	RPTOR
RPTOR	1	MTOR
AKT1	1	AKT1S1
DAPK1	1	CAMKK2
MTOR	1	MLST8
MLST8	1	MTOR
DAPK1	1	MAPK6
UVRAG	1	PIK3R4
ATG13	1	ULK2
ULK2	1	ATG13
UVRAG	1	BECN1
BCL2L1	1	BECN1
BECN1	1	BCL2L1
RPTOR	1	AKT1S1
AKT1S1	1	RPTOR
MTOR	1	AKT1S1
AKT1S1	1	MTOR
ULK2	1	RB1CC1
RB1CC1	1	ULK2
MCL1	1	BAD
ATG10	1	ATG5
ATG7	1	ATG3
HRAS	1	PLCE1
PLCE1	1	HRAS
MAPK14	1	MAPKAPK5
MAPKAPK5	1	MAPK14
MAPKAPK5	1	TP53
ATG16L1	1	ATG5
ATG5	1	ATG16L1
TP53	1	MCL1
BNIP3	1	BCL2
BNIP3	1	BCL2L1
SPNS1	1	BCL2
SPNS1	1	BCL2L1
ATG4B	1	MAP1LC3B
CALM1	1	DAPK1
DAPK1	1	MCM3
SH3GLB1	1	PIK3C3
CAPN1	1	BCL2
CAPN2	1	BCL2
CAPN1	1	BCL2L1
CAPN2	1	BID
CAPN1	1	BID
ATM	1	CHD4
CASP3	1	EIF4EBP1
CASP3	1	SPTAN1
CASP3	1	EIF4G1
CASP3	1	BCAR1
CASP3	1	EIF4G2
CASP3	1	EIF4G3
CASP3	1	BCL2
CASP2	1	CYCS
CASP2	1	DIABLO
CASP6	1	NUMA1
CASP6	1	VIM
CAPN2	1	BCL2L1
CASP2	1	AIFM1
CASP2	1	RIPK1
RIPK1	1	CASP10
CASP10	1	RIPK1
CASP10	1	BID
TOPBP1	1	ATR
SGK1	1	KCNQ4
POU4F3	1	BDNF
ATOH1	1	POU4F3
POU4F3	1	GFI1
MYO15A	1	WHRN
SOX2	1	ATOH1
ATOH1	1	BARHL1
ADGRV1	1	ADCY6
ID3	1	ATOH1
ID2	1	ATOH1
NOTCH1	1	PAX8
ID1	1	ATOH1
KCNE1	1	KCNQ4
NOTCH1	1	FOXI2
WNT1	1	FOXI2
E2F1	1	BRCA1
TIRAP	1	MYD88
SIX1	1	PAX2
SIX1	1	EYA1
FOXI1	1	SIX1
PDPK1	1	PRKCG
PDK1	1	PRKCG
JAG1	1	CDKN1B
E2F1	1	EZH2
E2F2	1	CCNB1
WNT1	1	JAG1
WNT1	1	NOTCH1
NOTCH1	1	WNT1
NOTCH1	1	ATOH1
WNT1	1	DLX5
POU4F3	1	NTF3
NOTCH1	1	HES5
NOTCH1	1	SOX2
NOTCH1	1	BMP4
MYC	1	NME1
RALB	1	RALBP1
RALGDS	1	RALA
RALBP1	1	CDC42
RALBP1	1	RAC1
WNT1	1	GBX2
WNT1	1	PAX2
WNT1	1	PAX8
WNT1	1	HES1
NOTCH1	1	JAG1
JAG1	1	NOTCH1
NOTCH1	1	HES1
WNT1	1	SOX9
KIT	1	GRB2
GRB2	1	KIT
SIX1	1	BMP4
SIX1	1	FGF10
SIX1	1	FGF3
EYA1	1	FGF3
KCNQ4	1	SLC26A5
PRKACG	1	KCNQ4
SIX1	1	GATA3
IKBKE	1	IRF7
ERBB2	1	GRB2
E2F1	1	PCNA
AKT2	1	CDKN1A
CDKN1A	1	AKT2
AKT1	1	CDKN1B
CDKN1B	1	AKT1
VDR	1	CASP3
RAD18	1	RAD51C
PRKCG	1	RAF1
SFRP1	1	WNT4
SFRP2	1	WNT1
MAB21L1	1	FOXE3
PAX6	1	CDH2
PAX6	1	SHROOM3
SFRP1	1	WNT2
SFRP1	1	WNT1
PKNOX1	1	PAX6
PAX6	1	SFRP2
PAX6	1	SFRP1
PAX6	1	FN1
PAX6	1	MAB21L1
CASP3	1	BIRC2
BIRC2	1	CASP3
CASP2	1	BID
CASP3	1	CASP2
BBC3	1	MCL1
MCL1	1	BAK1
CASP9	1	BIRC6
BIRC6	1	CASP9
PMAIP1	1	GMCL1
BCL2L11	1	MCL1
MCL1	1	BCL2L11
CDH1	1	ARPC1B
ULK1	1	MTOR
MTOR	1	ULK1
MTOR	1	RHEB
RHEB	1	MTOR
TSC2	1	RHEB
RHEB	1	TSC2
TSC2	1	TSC1
TSC1	1	TSC2
ATG7	1	MAP1LC3B
RHOA	1	DIAPH1
AKT1	1	TSC2
TSC2	1	AKT1
PMAIP1	1	MCL1
RHOA	1	ROCK2
ATG7	1	ATG10
ATG12	1	ATG7
ATG7	1	ATG12
ATG12	1	ATG5
ATG5	1	ATG12
MAP1LC3B	1	ATG3
ATG3	1	MAP1LC3B
CAMKK2	1	PRKAG1
FOXO1	1	NOXA1
E2F6	1	RBBP8
CASP3	1	NUMA1
BCL2L2	1	BIK
DYNLL1	1	BCL2L11
CFLAR	1	CASP10
CASP7	1	VIM
CASP7	1	TNFRSF1A
CASP7	1	ITGB4
CASP3	1	VIM
CASP3	1	CASP8
CASP8	1	CASP3
CASP3	1	CASP10
CASP10	1	CASP3
CASP3	1	PXN
PPP1CA	1	BAD
CASP3	1	PTK2
BCL2L11	1	BCL2A1
BCL2L1	1	APAF1
BCL2L11	1	VDAC1
BCL2L1	1	VDAC1
BAK1	1	VDAC1
BAX	1	VDAC1
TP53	1	DAPK1
DAPK1	1	TP53
DAPK3	1	RPL13A
CDKN2A	1	BCL2L1
SMAD2	1	DAPK1
UNC5B	1	PPP2R3B
RHEB	1	MLST8
MLST8	1	RHEB
ATG101	1	ATG13
PMAIP1	1	BAX
PRKCI	1	BAD
BCL2	1	MAPK8
MAPK8	1	BCL2
DAPK1	1	PRKD1
MIB1	1	DAPK1
DAPK1	1	BECN1
DAPK1	1	STX1A
DAPK1	1	RPS6
BBC3	1	BCL2A1
BBC3	1	BAX
HRK	1	BCL2L1
HRK	1	BCL2
FKBP8	1	RHEB
RHEB	1	FKBP8
FKBP8	1	MTOR
PMAIP1	1	BCL2A1
PRKCZ	1	FADD
PIDD1	1	CASP2
PIDD1	1	IKBKG
PIDD1	1	FADD
PIDD1	1	MADD
RPS6KA3	1	RPTOR
FAS	1	CASP8AP2
RPS6KA1	1	RPTOR
CASP8	1	CASP8AP2
CASP8AP2	1	CASP8
MAPK3	1	MAP2K1
MAP2K1	1	MAPK3
MAPK3	1	RPS6KA3
RPS6KA3	1	MAPK3
MAPK1	1	RPS6KA1
RPS6KA1	1	MAPK1
DAPK3	1	MYL9
MAPK1	1	RPS6KA3
RPS6KA3	1	MAPK1
MAPK1	1	DAPK1
DAPK1	1	MAPK1
SRC	1	DAPK1
PTPRF	1	DAPK1
DAPK3	1	DAPK1
DAPK1	1	DAPK3
TSC2	1	DAPK1
DAPK1	1	TSC2
MAPK3	1	DAPK1
DAPK1	1	MAPK3
HSP90AA1	1	DAPK1
NEO1	1	DAPK1
RRAS	1	RAF1
DAPK1	1	UNC5B
UNC5B	1	DAPK1
RPS6KA1	1	DAPK1
RPS6KA3	1	DAPK1
RAF1	1	MAP2K1
MAP2K1	1	RAF1
GSN	1	ACTG1
DAPK3	1	NR3C1
DAPK3	1	PPP1R14A
DAPK3	1	PPP1R12A
CTNNB1	1	DAPK2
DAPK3	1	AR
ROCK1	1	DAPK3
PPP1R14A	1	PPP1CA
DAPK1	1	TLN1
TLN1	1	ITGB1
DAPK1	1	ITGA3
DAPK1	1	CDKN2A
SMAD4	1	DAPK1
SMAD3	1	DAPK1
STAT3	1	WNT5A
ATM	1	MDC1
MDC1	1	ATM
TP53	1	AIFM2
TP53	1	ANLN
TP53	1	ABCB1
TP53	1	ACTA2
TP53	1	ARID3A
TP53	1	ADGRB1
TP53	1	APC
ELAVL1	1	SIRT1
CHEK2	1	ELAVL1
E2F3	1	CCNB1
CHEK1	1	WEE1
E2F1	1	EED
WNT5A	1	FZD2
PUF60	1	MYC
PUF60	1	FUBP1
AKT1	1	CDKN1A
FUBP1	1	MYC
E2F1	1	CDKN1A
E2F3	1	CDKN2A
E2F4	1	CLSPN
E2F2	1	CDKN2A
E2F1	1	CDT1
E2F1	1	CDKN2A
CDKN2A	1	E2F1
E2F2	1	PCNA
E2F6	1	BRCA1
E2F6	1	CBX5
UBE2T	1	FANCL
FANCL	1	UBE2T
UBE2T	1	FANCI
SUMO2	1	PML
TP53	1	DNMT1
SUMO1	1	PML
UBE2T	1	FANCD2
TP53	1	EGFR
MAPKAPK2	1	CDC25A
TP53	1	EPHA2
CHEK1	1	CDC25B
TP53	1	EDN2
MAPKAPK2	1	CDC25C
TP53	1	EEF1A1
MAPKAPK2	1	CDC25B
TP53	1	HTT
TP53	1	GPX1
TP53	1	GML
TP53	1	FANCC
TP53	1	HGF
ATM	1	SLX4
STAT1	1	FAS
STAT1	1	CDKN1A
NFE2L2	1	PRDX1
ATM	1	BID
KDM2B	1	PRDX4
KDM2B	1	NQO1
ATR	1	RBBP8
RBBP8	1	ATR
ATR	1	FANCI
E2F1	1	APAF1
CDK1	1	E2F1
E2F1	1	CDK1
E2F2	1	EED
MTOR	1	EIF4EBP3
MTOR	1	EIF4EBP2
MAPKAPK2	1	TSC1
TP53	1	BDKRB2
TP53	1	BID
MAP3K8	1	MAP3K14
MAP3K14	1	MAP3K8
IKBKB	1	TSC1
TSC1	1	IKBKB
TP53	1	BCL2L14
MAP3K8	1	MAP2K4
AKT1	1	RICTOR
RICTOR	1	AKT1
EIF4EBP2	1	EIF4E
EIF4EBP1	1	EIF4E
MTOR	1	EIF4EBP1
EIF4EBP1	1	MTOR
EIF4EBP3	1	EIF4E
TP53	1	CCNK
BCL10	1	IKBKG
IKBKG	1	BCL10
TP53	1	CASP6
TP53	1	CASP10
TP53	1	CASP1
IKBKB	1	MAP3K14
MAP3K14	1	IKBKB
TP53	1	RGCC
TP53	1	BNIP3L
IKBKB	1	TNFAIP3
TNFAIP3	1	IKBKB
TP53	1	BIRC5
TNIP1	1	IKBKG
E2F2	1	EZH2
E2F4	1	CDT1
E2F1	1	DBF4
CCNA2	1	E2F1
E2F1	1	CCNA2
IL22	1	IL10RB
TP53	1	CD82
EPO	1	EPOR
EPOR	1	EPO
TP53	1	CDC25C
CDC25C	1	TP53
MAPKAPK2	1	TSC2
TP53	1	CHMP4C
TP53	1	COL18A1
JAK2	1	STAT3
STAT3	1	JAK2
TP53	1	DKK1
TP53	1	DDR1
MAP3K8	1	KSR2
KSR2	1	MAP3K8
CHEK2	1	TP53
TP53	1	CHEK2
NFKB1	1	MAP3K8
MAP3K8	1	NFKB1
TP53	1	CTSD
ATM	1	STK11
TP53	1	CRYZ
TP53	1	DDIT4
TP53	1	HIPK2
HIPK2	1	TP53
TP53	1	CX3CL1
ATM	1	HIPK2
ATM	1	PPP2R5D
ATM	1	PPP2R5C
CASP1	1	GAPDH
CXCL16	1	CXCR6
CASP1	1	IL37
CASP1	1	CASP7
GTF2I	1	CCND1
KLKB1	1	PRKAG1
CASP1	1	IL33
CCL3L1	1	CCR5
ASF1A	1	CHAF1B
TNFRSF10C	1	TNFSF10
TNFSF10	1	TNFRSF10C
IKBKB	1	MAP3K7
MAP3K7	1	IKBKB
STK11	1	PRKAG1
ASF1B	1	CHAF1B
TNFRSF10A	1	TNFRSF10B
KAT8	1	HIST1H4C
PARP1	1	SUPT16H
TNFRSF10A	1	RIPK1
TNFRSF10B	1	RIPK1
NMI	1	STAT1
KRT18	1	TRADD
MYC	1	PMAIP1
ATM	1	ABL1
TNFRSF10A	1	TRADD
TNFRSF10B	1	TRADD
TRAF2	1	BIRC2
BIRC2	1	TRAF2
TNFRSF1A	1	RIPK3
IRF1	1	ISG20
TRAF2	1	RIPK3
RIPK3	1	TRAF2
PRKDC	1	UPF1
STAT1	1	SOCS1
IL10	1	IL10RA
NLRP1	1	CASP5
CASP1	1	FGF2
CASP1	1	PYCARD
PYCARD	1	CASP1
CARD18	1	CASP1
IRF1	1	NOS2
ISG15	1	JAK1
CARD16	1	CASP1
JAK1	1	IRS1
IRS1	1	JAK1
CASP1	1	IL1A
JAK1	1	IRS2
IRS2	1	JAK1
CASP1	1	SREBF2
INSR	1	IRS2
ATF2	1	MMP2
E2F1	1	TP53INP1
TP53	1	FDXR
STAT1	1	CDKN1B
CASP1	1	ENO1
TRAF2	1	MAP3K14
MAP3K14	1	TRAF2
ABL1	1	STAT1
MAVS	1	IFIH1
IFIH1	1	MAVS
TP53	1	TIGAR
CASP1	1	TPI1
TP73	1	TP53INP1
NOD2	1	MAP3K14
PRKDC	1	CASP2
ABL1	1	TOP1
PIDD1	1	PRKDC
STAT1	1	MYC
ANO9	1	STAT1
IRF1	1	STAT1
STAT1	1	IRF1
CASP1	1	ALDOA
EIF2AK2	1	STAT1
RIPK1	1	TICAM1
TICAM1	1	RIPK1
TICAM1	1	TBK1
TBK1	1	TICAM1
IKBKE	1	TICAM1
TICAM1	1	IKBKE
IFNG	1	IFNGR1
IFNGR1	1	IFNG
IFNB1	1	IRF3
IRF3	1	IFNB1
IRF7	1	IFNB1
IRF3	1	IFIT1
ISG15	1	IRF3
IRF3	1	ISG15
IRF3	1	CCL5
DAPK1	1	TPM1
MAP1B	1	DAPK1
DAPK1	1	MAP1B
ATM	1	SMC3
E2F1	1	DAPK2
EPO	1	DAPK2
DAPK3	1	CDKN1A
ZDHHC9	1	HRAS
ZDHHC9	1	NRAS
KLF6	1	DAPK2
IGF2	1	IGF2R
IGF2R	1	IGF2
FLT3LG	1	FLT3
KIT	1	KITLG
KITLG	1	KIT
IGF2	1	IGF1R
ATM	1	STRAP
SMG1	1	TP53
CHEK2	1	STRAP
TLR4	1	TIRAP
TIRAP	1	TLR4
KAT2B	1	HIST1H3H
TLR4	1	TICAM2
TICAM2	1	TLR4
TICAM2	1	TICAM1
MAP3K7	1	TRAF6
TRAF6	1	MAP3K7
TICAM1	1	TRAF6
TRAF6	1	TICAM1
TLR3	1	TICAM1
TICAM1	1	TLR3
MYD88	1	IRAK4
IRAK4	1	MYD88
ATG14	1	BECN1
SIRT2	1	FOXO1
FOXO1	1	ATG7
RUBCN	1	BECN1
CARD8	1	CASP9
CARD8	1	APAF1
SERPINB9	1	CASP1
CASP1	1	CARD8
CARD8	1	CASP1
DAPK3	1	MYL12A
DAPK1	1	MYL12A
ROCK1	1	MYL12A
TP53	1	BCL2
MTOR	1	DAP
CFLAR	1	ATG3
DAPK3	1	MYL5
RPS6KA3	1	BAD
CASP3	1	EIF2S2
RPS6KB1	1	RPS6
RPS6	1	RPS6KB1
DAPK1	1	BCL2
CDK1	1	BIRC5
CASP3	1	EIF2S3
TP53	1	TYRP1
GAPDH	1	RHEB
TP53	1	UBD
USP3	1	H2AFZ
TP53	1	VCAN
TP53	1	VDR
TP53	1	TRIAP1
TP53	1	TRIM22
TP53	1	TSC2
TP53	1	TRPM2
AKT1	1	ITPR1
GAPDH	1	APEX1
CAMKK1	1	CRMP1
GAPDH	1	POU2F1
POU2F1	1	HIST1H2BJ
SFPQ	1	NONO
NONO	1	TOP1
APLF	1	PARP1
TRIM28	1	ATM
ATM	1	TRIM28
CHEK1	1	RAD51
NOS1	1	NFKBIA
GSK3B	1	GYS1
PPP1R3A	1	GYS1
AXIN1	1	GSK3B
GSK3B	1	AXIN1
CSNK1A1	1	PRKN
E2F7	1	SP1
LRP6	1	GSK3B
GSK3B	1	LRP6
USP1	1	FANCD2
MAPK8	1	YWHAZ
BCL2	1	BECN1
CHEK2	1	CDC25A
PLK1	1	WEE1
ATM	1	HMGA2
AKT1	1	NOS3
ATM	1	HMGA1
CDK5	1	PRKN
CSNK1A1	1	CTNNB1
CSNK1A1	1	CDC25A
TP53	1	PLK2
PLK2	1	TP53
CHEK1	1	TP53
TP53	1	CHEK1
TP53	1	PLAGL1
E2F1	1	CASP3
TP53	1	ODC1
TP53	1	NOS3
TP53	1	PERP
TP53	1	P2RX6
PPARG	1	KMT5A
TP53	1	MMP2
E2F1	1	XPC
TP53	1	MET
TP53	1	NLRC4
TP53	1	NDRG1
TLX1	1	ALDH1A1
ATR	1	E2F1
YWHAQ	1	E2F1
E2F1	1	DDB2
DDB2	1	E2F1
ATM	1	MDM2
DDX17	1	ESR1
DDX17	1	MDM2
TP53	1	RB1
TP53	1	RABGGTA
TP53	1	PYCARD
TP53	1	PTK2
PTK2	1	TP53
TP53	1	PTEN
TP53	1	PRKAB1
SGK1	1	FOXO3
TP53	1	PRDM1
TP53	1	PPM1J
AKT1	1	FOXO1
TP53	1	PML
PML	1	TP53
TP53	1	PLK3
PLK3	1	TP53
E2F1	1	CCNB1
E2F1	1	CASP7
TP53	1	SERPINE1
TP53	1	SERPINB5
TP53	1	SFN
TP53	1	SESN1
TP53	1	RPS27L
TP53	1	COP1
COP1	1	TP53
TP53	1	SCARA3
TP53	1	S100A2
TP53	1	SCN3B
TP53	1	SCD
TP73	1	TP53
TP53	1	TP73
TP53	1	TP63
TP63	1	TP53
CCNB1	1	CDC25C
CDC25C	1	CCNB1
CCND1	1	GSK3B
GSK3B	1	CCND1
TP53	1	STEAP3
TP53	1	SLC38A2
TP53	1	SH2D1A
TP53	1	TNFRSF10C
TP53	1	TNFRSF10A
TP53	1	TGFA
TP53	1	TAP1
AXIN1	1	MYC
MYC	1	GSK3B
GSK3B	1	MYC
IKBKB	1	IKBKG
IKBKG	1	IKBKB
CHEK1	1	CDC25A
RPS6KA5	1	H2AFZ
TAF1	1	BCL2L11
CREBBP	1	ASAH2B
KAT7	1	HIST1H4C
KAT7	1	HIST1H3H
CASP6	1	CASP8
CASP8	1	CASP6
GTF3C4	1	HIST1H3H
ELP3	1	HIST1H3H
NCOA1	1	HIST1H4C
NCOA1	1	HIST1H3H
CDK1	1	CSNK2B
MDM2	1	JMY
NCOA3	1	HIST1H3H
DYRK2	1	TP53
TBK1	1	IRF7
RUNX1	1	IER3
MAVS	1	TBK1
TBK1	1	MAVS
NCOA2	1	HIST1H3H
NCOA3	1	HIST1H4C
TLR5	1	MYD88
MYD88	1	TLR5
KDM3B	1	HIST1H3H
RIPK2	1	BCL10
KDM3A	1	HIST1H3H
CLOCK	1	HIST1H3H
NCOA2	1	HIST1H4C
KDM4D	1	HIST1H3H
KDM4C	1	HIST1H3H
KDM4B	1	HIST1H3H
KDM4A	1	BCL2L11
ATR	1	RFWD3
TNFRSF10A	1	FADD
FADD	1	TNFRSF10A
BAK1	1	AIFM1
TP53	1	HIF1A
HIF1A	1	TP53
TP53	1	CSNK2B
CSNK2B	1	TP53
ABL1	1	WASL
APIP	1	APAF1
ESCO1	1	KDM1A
TNFAIP3	1	IKBKG
ABL1	1	YTHDC1
CASP1	1	IL1B
ABL1	1	ZDHHC16
XPC	1	DDB1
CASP1	1	IL18
IL18	1	CASP1
ESCO1	1	RAD21
ABL2	1	WASL
ABL1	1	WRN
CAPNS1	1	CAPN2
XRCC5	1	DDB2
PIK3R4	1	PIK3C3
KMT2D	1	RELB
KMT2B	1	RELB
KMT2D	1	HIST1H3H
KMT2B	1	HIST1H3H
CARM1	1	RELB
BID	1	BAK1
BID	1	BAX
ATM	1	PLK1
XIAP	1	DIABLO
DIABLO	1	XIAP
PRMT6	1	THBS1
WEE1	1	SKP1
PRMT6	1	HMGA1
ATR	1	PLK1
CDK1	1	WEE1
WEE1	1	CDK1
KMT5B	1	HIST1H4C
XRCC5	1	ATRIP
KMT2A	1	RELB
XRCC5	1	PRKDC
PRKDC	1	XRCC5
