pathway,Adjusted p-value,Significant (in gene set)
Fatty acyl-CoA biosynthesis,0.5511376314025882,3
Synthesis of very long-chain fatty acyl-CoAs,1,1
Fatty acid metabolism,1,4
Pentose phosphate pathway,0.20215969915522736,5
"Transport of bile salts and organic acids, metal ions and amine compounds",1,0
SLC-mediated transmembrane transport,1,1
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",1,0
RNA Polymerase II Pre-transcription Events,0.6759174863444787,7
RNA Polymerase II Promoter Escape,1,4
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,1,4
RNA Polymerase II Transcription,0.9178207506500137,12
Gene expression (Transcription),1,12
RNA Polymerase II Transcription Initiation,1,4
RNA Polymerase II Transcription Initiation And Promoter Clearance,1,4
VLDLR internalisation and degradation,1,1
LDL clearance,1,1
Plasma lipoprotein clearance,1,1
Acyl chain remodeling of DAG and TAG,1,0
Glycerophospholipid biosynthesis,1,3
Triglyceride biosynthesis,1,0
Triglyceride metabolism,1,0
Recognition of DNA damage by PCNA-containing replication complex,0.6759174863444787,4
DNA Damage Bypass,0.2508256861496014,7
DNA Repair,0.9609442347243582,12
Protein ubiquitination,1,2
E3 ubiquitin ligases ubiquitinate target proteins,1,1
Apoptosis,1,0
Intrinsic Pathway for Apoptosis,1,0
Formation of apoptosome,1,0
Cytochrome c-mediated apoptotic response,1,0
Apoptotic factor-mediated response,1,0
RMTs methylate histone arginines,1,1
Programmed Cell Death,1,0
mRNA Splicing - Minor Pathway,1,2
mRNA Splicing,1,2
Processing of Capped Intron-Containing Pre-mRNA,1,2
Neddylation,0.876591737390175,3
Transport of inorganic cations/anions and amino acids/oligopeptides,1,1
Miscellaneous transport and binding events,1,0
Mismatch Repair,1,0
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),1,0
Transport of glycerol from adipocytes to the liver by Aquaporins,1,0
Vasopressin regulates renal water homeostasis via Aquaporins,1,1
Passive transport by Aquaporins,1,0
Aquaporin-mediated transport,1,1
Fructose metabolism,0.3125091058416737,3
Fructose catabolism,0.1825691349706194,3
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",0.908203574967018,3
Synthesis of GDP-mannose,0.6759174863444787,1
Synthesis of substrates in N-glycan biosythesis,0.876591737390175,2
Deubiquitination,0.4331914028521594,13
Ovarian tumor domain proteases,0.6759174863444787,1
Signaling by Rho GTPases,0.3911549020431017,10
RHO GTPase Effectors,0.2998601463055817,8
Fcgamma receptor (FCGR) dependent phagocytosis,0.1825691349706194,5
Regulation of actin dynamics for phagocytic cup formation,0.20215969915522736,4
RHO GTPases activate IQGAPs,1,1
RHO GTPases Activate WASPs and WAVEs,0.2949259845457486,3
Golgi Cisternae Pericentriolar Stack Reorganization,1,0
Cell Cycle,0.876591737390175,15
ER to Golgi Anterograde Transport,0.4685920308890884,6
Membrane Trafficking,0.9854094813584289,10
COPII-mediated vesicle transport,1,2
Vesicle-mediated transport,0.9854094813584289,10
COPI-mediated anterograde transport,0.1825691349706194,5
COPI-dependent Golgi-to-ER retrograde traffic,0.3758220285045913,6
Retrograde transport at the Trans-Golgi-Network,1,0
Intra-Golgi and retrograde Golgi-to-ER traffic,0.3758220285045913,8
Mitotic Prophase,1,2
M Phase,1,3
"Cell Cycle, Mitotic",0.9178207506500137,14
TBC/RABGAPs,1,0
Golgi-to-ER retrograde transport,0.4685920308890884,6
RAB geranylgeranylation,1,1
Rab regulation of trafficking,1,0
Transport to the Golgi and subsequent modification,0.47256442532329196,6
Hemostasis,0.876591737390175,5
Organelle biogenesis and maintenance,1,2
Signaling by Hedgehog,0.7645615081515763,2
Hedgehog 'off' state,1,1
Cilium Assembly,1,1
Carboxyterminal post-translational modifications of tubulin,1,0
Kinesins,1,0
Factors involved in megakaryocyte development and platelet production,1,0
Glyoxylate metabolism and glycine degradation,1,1
Peroxisomal protein import,1,2
Protein localization,1,3
Ub-specific processing proteases,0.6554958096053713,11
ESR-mediated signaling,1,4
Signaling by Nuclear Receptors,0.9854094813584289,6
Estrogen-dependent gene expression,1,3
The citric acid (TCA) cycle and respiratory electron transport,0.7826927861242249,5
Regulation of pyruvate dehydrogenase (PDH) complex,1,0
Signaling by Retinoic Acid,0.8635822543306518,2
Glycine degradation,1,0
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",0.6759174863444787,4
Pyruvate metabolism,1,0
Branched-chain amino acid catabolism,0.20215969915522736,5
Lysine catabolism,0.876591737390175,2
Citric acid cycle (TCA cycle),0.6759174863444787,3
Pyruvate metabolism and Citric Acid (TCA) cycle,0.876591737390175,4
Synthesis of UDP-N-acetyl-glucosamine,0.876591737390175,1
Platelet degranulation ,1,1
"Platelet activation, signaling and aggregation",0.7645615081515763,4
Response to elevated platelet cytosolic Ca2+,0.9854094813584289,2
Antigen processing-Cross presentation,0.9679359165728093,4
Cross-presentation of soluble exogenous antigens (endosomes),0.9679359165728093,4
Cytokine Signaling in Immune system,0.052554817996408584,17
SCF-beta-TrCP mediated degradation of Emi1,0.7826927861242249,6
APC/C-mediated degradation of cell cycle proteins,0.6759174863444787,8
Regulation of APC/C activators between G1/S and early anaphase,0.7826927861242249,7
SCF(Skp2)-mediated degradation of p27/p21,0.7096845139285669,7
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.7826927861242249,6
Regulation of mRNA stability by proteins that bind AU-rich elements,0.47256442532329196,9
Mitotic G2-G2/M phases,0.47256442532329196,10
Regulation of mitotic cell cycle,0.6759174863444787,8
Mitotic G1-G1/S phases,1,8
TNFR2 non-canonical NF-kB pathway,0.6550272085961176,6
Metalloprotease DUBs,0.876591737390175,2
Orc1 removal from chromatin,0.7645615081515763,8
CDK-mediated phosphorylation and removal of Cdc6,0.8704456682453807,6
Switching of origins to a post-replicative state,0.7645615081515763,8
Cyclin E associated events during G1/S transition ,0.6759174863444787,8
G1/S Transition,1,8
Synthesis of DNA,0.9178207506500137,9
S Phase,0.9178207506500137,10
G2/M Transition,0.47256442532329196,10
DNA Replication,0.9854094813584289,9
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,0.9100393234399722,5
p53-Independent DNA Damage Response,0.9100393234399722,5
p53-Independent G1/S DNA damage checkpoint,0.9100393234399722,5
G1/S DNA Damage Checkpoints,0.9100393234399722,5
Cell Cycle Checkpoints,0.855964063283895,7
Cyclin A:Cdk2-associated events at S phase entry,0.6759174863444787,8
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.6154427986858255,7
Opioid Signalling,0.6759174863444787,2
CaMK IV-mediated phosphorylation of CREB,0.7826927861242249,1
Calmodulin induced events,0.6684231059867697,2
Ca-dependent events,0.6684231059867697,2
CaM pathway,0.6684231059867697,2
G-protein mediated events,0.6684231059867697,2
PLC beta mediated events,0.6684231059867697,2
Neurotransmitter receptors and postsynaptic signal transmission,0.6759174863444787,3
Transmission across Chemical Synapses,0.47256442532329196,5
Neuronal System,0.47256442532329196,5
DAG and IP3 signaling,0.3125091058416737,3
Signaling by WNT,1,1
Cellular response to heat stress,0.11936930771753027,9
HSF1-dependent transactivation,0.20215969915522736,4
Signaling by GPCR,0.47256442532329196,6
Beta-catenin independent WNT signaling,1,1
GPCR downstream signalling,0.47256442532329196,6
Muscle contraction,0.5511376314025882,2
Ca2+ pathway,1,1
G alpha (i) signalling events,0.5511376314025882,3
Post NMDA receptor activation events,0.876591737390175,2
CREB phosphorylation through the activation of CaMKK,0.9178207506500137,1
CREB phosphorylation through the activation of CaMKII,0.7826927861242249,1
Activation of CaMK IV,0.7826927861242249,1
Activation of NMDA receptors and postsynaptic events,0.876591737390175,2
Cardiac conduction,0.5511376314025882,2
Ion homeostasis,0.5511376314025882,2
Intracellular signaling by second messengers,0.5652962399673682,4
Ion transport by P-type ATPases,0.5224911514913724,3
Ion channel transport,0.5511376314025882,3
Synthesis of PIPs at the Golgi membrane,1,1
Synthesis of PIPs at the early endosome membrane,1,1
Synthesis of PIPs at the late endosome membrane,0.9854094813584289,1
Macroautophagy,1,2
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,0.6759174863444787,1
Condensation of Prometaphase Chromosomes,1,1
Mitotic Prometaphase,1,1
Phase II - Conjugation of compounds,1,1
Glutathione conjugation,1,0
Glutathione synthesis and recycling,1,0
Biological oxidations,1,2
Nicotinate metabolism,1,0
Regulation of Glucokinase by Glucokinase Regulatory Protein,0.5224911514913724,1
Translesion synthesis by REV1,0.9178207506500137,2
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.47256442532329196,5
Translesion Synthesis by POLH,0.46963879007232534,4
ISG15 antiviral mechanism,0.2508256861496014,6
Antiviral mechanism by IFN-stimulated genes,0.2508256861496014,6
DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.9854094813584289,1
Translesion synthesis by POLK,0.9382161182706222,2
Translesion synthesis by POLI,0.9382161182706222,2
Termination of translesion DNA synthesis,0.8635822543306518,3
RAF/MAP kinase cascade,0.5511376314025882,3
Negative regulation of MAPK pathway,0.46963879007232534,3
MAPK1/MAPK3 signaling,0.2998601463055817,4
UCH proteinases,0.9178207506500137,1
DNA Double-Strand Break Repair,1,2
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,1,2
DNA Double Strand Break Response,1,2
DNA Damage Recognition in GG-NER,0.0913113315814229,5
Formation of Incision Complex in GG-NER,0.47256442532329196,6
Gap-filling DNA repair synthesis and ligation in GG-NER,0.9178207506500137,2
Nucleotide Excision Repair,0.7645615081515763,9
Global Genome Nucleotide Excision Repair (GG-NER),0.5652962399673682,7
Dual Incision in GG-NER,0.9100393234399722,4
Formation of TC-NER Pre-Incision Complex,0.9178207506500137,5
Transcription-Coupled Nucleotide Excision Repair (TC-NER),1,6
Dual incision in TC-NER,1,6
Gap-filling DNA repair synthesis and ligation in TC-NER,0.9178207506500137,6
Synthesis of active ubiquitin: roles of E1 and E2 enzymes,1,2
Interferon Signaling,0.2508256861496014,6
Negative regulators of DDX58/IFIH1 signaling,0.9854094813584289,1
Post-translational modification: synthesis of GPI-anchored proteins,1,1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",0.9178207506500137,1
Generic Transcription Pathway,1,8
Transcriptional Regulation by TP53,0.9854094813584289,8
TP53 Regulates Metabolic Genes,1,1
Respiratory electron transport,0.876591737390175,1
Erythrocytes take up carbon dioxide and release oxygen,1,0
Erythrocytes take up oxygen and release carbon dioxide,1,0
O2/CO2 exchange in erythrocytes,1,0
Apoptotic execution phase,1,0
Formation of the Early Elongation Complex,1,2
TP53 Regulates Transcription of DNA Repair Genes,1,3
mRNA Capping,1,1
RNA Polymerase II Transcription Elongation,1,2
RNA Pol II CTD phosphorylation and interaction with CE,1,1
Methionine salvage pathway,1,0
Sulfur amino acid metabolism,0.8635822543306518,2
Metabolism of polyamines,0.9178207506500137,2
Cargo concentration in the ER,0.9854094813584289,1
Intra-Golgi traffic,0.6684231059867697,2
Amino acid synthesis and interconversion (transamination),1,2
Metabolism of nucleotides,0.14814210343880546,11
Purine ribonucleoside monophosphate biosynthesis,0.0913113315814229,5
Nucleobase biosynthesis,0.04763382454427784,6
"ROS, RNS production in phagocytes",1,2
Metal ion SLC transporters,1,0
Antimicrobial peptides,1,0
Ion influx/efflux at host-pathogen interface,1,0
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.47256442532329196,2
Oxidative Stress Induced Senescence,0.1989648723923844,6
Cellular Senescence,0.29506029892634544,7
Interconversion of nucleotide di- and triphosphates,0.46963879007232534,4
Inflammasomes,1,0
The NLRP3 inflammasome,1,0
Cholesterol biosynthesis,0.29099178229525935,5
Cholesterol biosynthesis via desmosterol,0.6759174863444787,1
Cholesterol biosynthesis via lathosterol,0.6759174863444787,1
Metabolism of steroids,0.6684231059867697,5
Metabolism of folate and pterines,0.5511376314025882,3
Carnitine synthesis,0.06468209708828808,3
Fructose biosynthesis,1,0
Formation of xylulose-5-phosphate,1,0
Multifunctional anion exchangers,1,0
Acyl chain remodelling of PE,1,0
Activation of the pre-replicative complex,1,1
DNA Replication Pre-Initiation,1,1
Developmental Biology,0.15482831507407196,6
Toll Like Receptor 4 (TLR4) Cascade,0.2998601463055817,4
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.2998601463055817,4
MyD88-independent TLR4 cascade ,0.2998601463055817,4
Signaling by NTRKs,0.244679562189899,5
Signalling to RAS,0.2949259845457486,3
Toll Like Receptor 9 (TLR9) Cascade,0.2998601463055817,4
Toll Like Receptor 10 (TLR10) Cascade,0.2998601463055817,4
Toll Like Receptor 3 (TLR3) Cascade,0.2998601463055817,4
Toll Like Receptor 5 (TLR5) Cascade,0.2998601463055817,4
Toll Like Receptor TLR1:TLR2 Cascade,0.2998601463055817,4
Toll Like Receptor 7/8 (TLR7/8) Cascade,0.2998601463055817,4
Toll Like Receptor TLR6:TLR2 Cascade,0.2998601463055817,4
NOD1/2 Signaling Pathway,0.1825691349706194,2
Toll-like Receptor Cascades,0.35883108441547995,4
p38MAPK events,0.2949259845457486,3
Toll Like Receptor 2 (TLR2) Cascade,0.2998601463055817,4
Signaling by NTRK1 (TRKA),0.244679562189899,5
Signalling to ERKs,0.2949259845457486,3
NRAGE signals death through JNK,1,1
p75 NTR receptor-mediated signalling,1,1
Signaling by VEGF,0.15482831507407196,7
Nuclear Events (kinase and transcription factor activation),0.7645615081515763,2
ERK/MAPK targets,0.7645615081515763,2
"Cell death signalling via NRAGE, NRIF and NADE",1,1
Fc epsilon receptor (FCERI) signaling,0.11936930771753027,5
FCERI mediated MAPK activation,0.013342111016002888,4
CDO in myogenesis,0.7826927861242249,1
Signal amplification,0.6759174863444787,1
ADP signalling through P2Y purinoceptor 1,0.6759174863444787,1
VEGFA-VEGFR2 Pathway,0.15482831507407196,7
Interleukin-1 family signaling,0.5224911514913724,1
Interleukin-17 signaling,0.2998601463055817,4
Signaling by Interleukins,0.29099178229525935,5
MAPK targets/ Nuclear events mediated by MAP kinases,0.7645615081515763,2
MAP kinase activation,0.2998601463055817,4
activated TAK1 mediates p38 MAPK activation,0.1825691349706194,3
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,0.1825691349706194,2
Myogenesis,0.7826927861242249,1
Death Receptor Signalling,1,1
Signaling by Receptor Tyrosine Kinases,0.1825691349706194,10
Interleukin-38 signaling,0.5224911514913724,1
TRIF(TICAM1)-mediated TLR4 signaling ,0.2998601463055817,4
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,0.2998601463055817,4
MyD88 dependent cascade initiated on endosome,0.2998601463055817,4
MyD88 cascade initiated on plasma membrane,0.2998601463055817,4
Processing of Capped Intronless Pre-mRNA,1,0
Processing of Intronless Pre-mRNAs,1,0
Signaling by PTK6,0.5511376314025882,2
PTK6 Regulates Proteins Involved in RNA Processing,1,0
Signaling by Non-Receptor Tyrosine Kinases,0.5511376314025882,2
Metabolism of nitric oxide,0.9854094813584289,1
eNOS activation,0.9854094813584289,1
eNOS activation and regulation,0.9854094813584289,1
Deadenylation-dependent mRNA decay,1,0
mRNA decay by 3' to 5' exoribonuclease,1,0
RNA polymerase II transcribes snRNA genes,1,3
RNA Polymerase III Transcription,1,0
RNA Polymerase III Transcription Initiation,1,0
RNA Polymerase III Transcription Initiation From Type 1 Promoter,1,0
Synthesis of PC,1,0
Synthesis of PE,1,0
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,0.7826927861242249,2
Proline catabolism,0.6759174863444787,1
"Gamma carboxylation, hypusine formation and arylsulfatase activation",0.46963879007232534,3
Synthesis of diphthamide-EEF2,0.9178207506500137,1
Amino Acid conjugation,1,0
Mitochondrial biogenesis,1,1
Conjugation of carboxylic acids,1,0
Conjugation of salicylate with glycine,1,0
Conjugation of benzoate with glycine,1,0
Conjugation of phenylacetate with glutamine,1,0
Phase I - Functionalization of compounds,1,1
Transcriptional activation of mitochondrial biogenesis,1,1
Ethanol oxidation,0.9178207506500137,1
TP53 Regulates Transcription of Cell Death Genes,1,0
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,1,0
trans-Golgi Network Vesicle Budding,1,0
Clathrin derived vesicle budding,1,0
Lysosome Vesicle Biogenesis,1,0
Cargo recognition for clathrin-mediated endocytosis,1,0
Clathrin-mediated endocytosis,1,0
NADPH regeneration,0.6759174863444787,1
Metabolism of cofactors,0.35883108441547995,4
Telomere Maintenance,1,2
Telomere Extension By Telomerase,0.6759174863444787,1
Extension of Telomeres,1,2
Chromosome Maintenance,1,2
Mitochondrial ABC transporters,1,0
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",1,1
Visual phototransduction,0.9178207506500137,1
The phototransduction cascade,0.9178207506500137,1
"Inactivation, recovery and regulation of the phototransduction cascade",0.9178207506500137,1
Purine salvage,1,0
Purine catabolism,1,0
Nucleobase catabolism,1,1
Nucleotide salvage,1,0
Condensation of Prophase Chromosomes,1,1
Nuclear Envelope Breakdown,0.8635822543306518,2
"Activation of NIMA Kinases NEK9, NEK6, NEK7",1,1
Depolymerisation of the Nuclear Lamina,0.7645615081515763,2
TP53 Regulates Transcription of Cell Cycle Genes,1,1
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,1,1
Cyclin A/B1/B2 associated events during G2/M transition,0.7826927861242249,3
G2/M DNA damage checkpoint,0.8635822543306518,2
G2/M DNA replication checkpoint,0.6759174863444787,2
G2/M Checkpoints,0.876591737390175,2
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,0.8635822543306518,2
GPVI-mediated activation cascade,0.9854094813584289,1
Signaling by SCF-KIT,1,0
Rho GTPase cycle,0.908203574967018,3
EPH-Ephrin signaling,0.3758220285045913,2
L1CAM interactions,0.5511376314025882,2
Costimulation by the CD28 family,0.2949259845457486,4
CD28 co-stimulation,0.1825691349706194,4
CD28 dependent Vav1 pathway,0.6759174863444787,1
EPHB-mediated forward signaling,0.3758220285045913,2
Axon guidance,0.1825691349706194,5
Signal transduction by L1,0.5511376314025882,2
VEGFR2 mediated vascular permeability,0.7826927861242249,2
RHO GTPases activate PKNs,1,2
RHO GTPases activate CIT,0.3758220285045913,2
RHO GTPases activate PAKs,0.6759174863444787,1
Tryptophan catabolism,0.7645615081515763,2
Synthesis of PIPs at the plasma membrane,1,0
RHO GTPases Activate NADPH Oxidases,0.6759174863444787,1
Pyrimidine salvage,1,0
Regulation of HSF1-mediated heat shock response,0.8635822543306518,3
Mitochondrial protein import,0.9178207506500137,1
Sphingolipid de novo biosynthesis,1,0
Chaperonin-mediated protein folding,1,1
Association of TriC/CCT with target proteins during biosynthesis,1,0
Protein folding,1,1
VEGFR2 mediated cell proliferation,0.6759174863444787,2
Beta-oxidation of very long chain fatty acids,1,0
Peroxisomal lipid metabolism,1,0
mitochondrial fatty acid beta-oxidation of saturated fatty acids,1,0
Mitochondrial Fatty Acid Beta-Oxidation,1,1
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,1,0
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,1,0
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,1,0
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,1,0
Beta oxidation of butanoyl-CoA to acetyl-CoA,1,0
Recycling of eIF2:GDP,1,0
Synthesis of Leukotrienes (LT) and Eoxins (EX),1,0
Arachidonic acid metabolism,1,0
Aflatoxin activation and detoxification,1,0
Synthesis of PIPs at the ER membrane,1,0
G alpha (12/13) signalling events,1,1
Sulfide oxidation to sulfate,1,0
Degradation of cysteine and homocysteine,0.876591737390175,1
Mitochondrial Uncoupling Proteins,1,0
The fatty acid cycling model,1,0
The proton buffering model,1,0
Organic anion transporters,1,0
Integration of energy metabolism,0.1989648723923844,6
Insulin effects increased synthesis of Xylulose-5-Phosphate,0.3758220285045913,2
CD28 dependent PI3K/Akt signaling,0.2949259845457486,3
Dectin-1 mediated noncanonical NF-kB signaling,0.1825691349706194,2
CLEC7A (Dectin-1) signaling,0.3125091058416737,3
C-type lectin receptors (CLRs),0.3125091058416737,3
NIK-->noncanonical NF-kB signaling,0.1825691349706194,2
XBP1(S) activates chaperone genes,0.9178207506500137,1
IRE1alpha activates chaperones,0.5511376314025882,2
Unfolded Protein Response (UPR),0.6759174863444787,2
SUMOylation,0.9380167055115632,3
SUMO E3 ligases SUMOylate target proteins,0.876591737390175,3
HATs acetylate histones,1,1
Attenuation phase,0.5511376314025882,2
SUMOylation of transcription cofactors,0.6759174863444787,2
Inositol phosphate metabolism,1,1
Synthesis of pyrophosphates in the cytosol,1,0
Cytosolic sensors of pathogen-associated DNA ,1,0
DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,1,0
Metabolism of steroid hormones,1,0
RA biosynthesis pathway,0.47256442532329196,2
FCERI mediated Ca+2 mobilization,1,0
CLEC7A (Dectin-1) induces NFAT activation,1,0
mRNA decay by 5' to 3' exoribonuclease,1,0
Signaling by Insulin receptor,0.7826927861242249,3
Insulin receptor recycling,0.876591737390175,2
Transferrin endocytosis and recycling,0.876591737390175,2
PIP3 activates AKT signaling,1,1
Negative regulation of the PI3K/AKT network,1,1
ERKs are inactivated,1,0
CTLA4 inhibitory signaling,0.9854094813584289,1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",1,1
Cleavage of the damaged pyrimidine ,1,0
Displacement of DNA glycosylase by APEX1,1,0
Base Excision Repair,1,1
Depyrimidination,1,0
"Base-Excision Repair, AP Site Formation",1,0
Resolution of Abasic Sites (AP sites),1,1
Cysteine formation from homocysteine,0.6759174863444787,1
Ketone body metabolism,0.2949259845457486,2
Synthesis of Ketone Bodies,0.2949259845457486,2
Eukaryotic Translation Elongation,0.2949259845457486,3
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,1,1
SUMOylation of DNA damage response and repair proteins,1,1
PCNA-Dependent Long Patch Base Excision Repair,1,1
Removal of the Flap Intermediate,1,0
Processive synthesis on the lagging strand,1,0
Lagging Strand Synthesis,1,1
DNA strand elongation,1,1
Import of palmitoyl-CoA into the mitochondrial matrix,1,1
Synthesis of bile acids and bile salts,1,1
Bile acid and bile salt metabolism,1,1
Metabolism of porphyrins,1,1
Heme biosynthesis,1,1
Synthesis of Dolichyl-phosphate,1,0
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,0.7826927861242249,1
Pyrimidine catabolism,0.5224911514913724,1
Abacavir transport and metabolism,1,0
Abacavir metabolism,1,0
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),1,0
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,1,1
Acyl chain remodelling of PG,1,0
Synthesis of CL,1,0
Biotin transport and metabolism,0.7826927861242249,1
VxPx cargo-targeting to cilium,1,0
Cargo trafficking to the periciliary membrane,1,0
HSF1 activation,0.15482831507407196,4
Protein methylation,0.1825691349706194,3
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",0.876591737390175,1
Processing and activation of SUMO,0.9178207506500137,1
SUMOylation of SUMOylation proteins,0.876591737390175,1
SUMOylation of chromatin organization proteins,0.9178207506500137,1
SUMOylation of RNA binding proteins,0.7826927861242249,1
SUMOylation of DNA replication proteins,0.6684231059867697,2
Synthesis of PA,0.3125091058416737,3
ChREBP activates metabolic gene expression,0.3758220285045913,2
Epigenetic regulation of gene expression,1,0
SIRT1 negatively regulates rRNA expression,1,0
Negative epigenetic regulation of rRNA expression,1,0
HDR through Homologous Recombination (HRR),1,0
Homology Directed Repair,1,0
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),1,0
Homologous DNA Pairing and Strand Exchange,1,0
PTEN Regulation,1,0
Regulation of PTEN gene transcription,1,0
Galactose catabolism,1,0
Synthesis of IPs in the nucleus,1,0
Acyl chain remodeling of CL,1,0
COPI-independent Golgi-to-ER retrograde traffic,1,0
Choline catabolism,0.876591737390175,1
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.876591737390175,1
Signaling by ERBB2,0.47256442532329196,2
Downregulation of ERBB2:ERBB3 signaling,0.47256442532329196,2
Downregulation of ERBB2 signaling,0.47256442532329196,2
HDMs demethylate histones,1,1
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,1,1
Translocation of SLC2A4 (GLUT4) to the plasma membrane,0.9854094813584289,1
Serine biosynthesis,1,0
Glycosaminoglycan metabolism,1,0
"Cobalamin (Cbl, vitamin B12) transport and metabolism",1,0
Hyaluronan metabolism,1,0
