pathway,Adjusted p-value,Significant (in gene set)
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION,0.001399776711521898,15
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.36463008977991573,3
GO_MUSCLE_TISSUE_DEVELOPMENT,0.02349300760803619,17
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,0.719992227829117,1
GO_ACID_SECRETION,1,1
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.9075643796414956,3
GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,0.22655968489327585,4
GO_REGULATION_OF_PROTEIN_BINDING,1.6095678445745607e-4,17
GO_CARDIAC_SEPTUM_DEVELOPMENT,0.9005910223448103,3
GO_REGULATION_OF_ICOSANOID_SECRETION,1,0
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,1,0
GO_REGULATION_OF_HISTONE_METHYLATION,1,1
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION,1,0
GO_ANTIMICROBIAL_HUMORAL_RESPONSE,1,1
GO_EPIDERMIS_MORPHOGENESIS,0.3126596973007413,2
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS,0.06019648792679472,4
GO_COGNITION,0.14702407929704228,11
GO_RESPONSE_TO_ZINC_ION,0.4206453264609167,2
GO_AXIS_SPECIFICATION,0.5450717389101933,3
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,0.2581827093651364,4
GO_CELL_PART_MORPHOGENESIS,5.161778720412515e-4,31
GO_PIGMENT_GRANULE_LOCALIZATION,1,0
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,1,1
GO_RESPONSE_TO_ORGANOPHOSPHORUS,0.1401885797073322,7
GO_AXO_DENDRITIC_TRANSPORT,0.3308650075687283,3
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION,0.9454004369267038,1
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,3.3336505861972825e-6,10
GO_GLAND_MORPHOGENESIS,0.00699988687685371,10
GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.6292163965923838,2
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN,1,0
GO_RIBOSOME_BIOGENESIS,0.026435678227276868,8
GO_B_CELL_HOMEOSTASIS,0.43970393654587536,2
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.7178451215188324,2
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,0.35941389266859863,2
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS,0.14285671086067075,6
GO_MRNA_SPLICE_SITE_SELECTION,1,0
GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS,0.0800861159952797,3
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,1,0
GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,0.029856451645439343,4
GO_DENDRITIC_CELL_MIGRATION,0.16200268608177415,3
GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS,0.7769076987193272,1
GO_LYSOSOMAL_TRANSPORT,0.5127749739457261,3
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,5.470781128244176e-7,12
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION,0.506628583732127,2
GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,0.18743516212684588,5
GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,0.4803121233934732,4
GO_MUSCLE_ORGAN_DEVELOPMENT,0.006412043502537587,18
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS,0.007735909858838135,12
GO_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS,0.9884238239511952,1
GO_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,1,0
GO_MYELOID_CELL_HOMEOSTASIS,0.030751312203507342,9
GO_REGULATION_OF_BLOOD_PRESSURE,0.7289098275047174,5
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,0.06608752160674294,5
GO_RESPONSE_TO_ELECTRICAL_STIMULUS,0.32155382030687363,3
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,0.6248424326797761,1
GO_REGULATION_OF_T_CELL_CHEMOTAXIS,1,0
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY,0.09202526552784461,6
GO_VENTRICULAR_SEPTUM_MORPHOGENESIS,1,0
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS,1,0
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION,0.6563439224933438,1
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,0.147754424665486,4
GO_TOLERANCE_INDUCTION,0.3955422821213552,2
GO_CHEMICAL_HOMEOSTASIS,6.576910885705752e-4,39
GO_SYNAPSE_ORGANIZATION,0.09835107397284616,14
GO_METANEPHROS_DEVELOPMENT,0.20956472262206677,5
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS,0.009620302819250427,12
GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,0.9609066662287655,2
GO_ENDOSOME_ORGANIZATION,1,1
GO_REGULATION_OF_WOUND_HEALING,0.012321651060137365,10
GO_REGULATION_OF_MAPK_CASCADE,7.2278832416383954e-9,48
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.1122707218791075,3
GO_MYELOID_LEUKOCYTE_MIGRATION,0.3917511628721895,8
GO_COLLAGEN_FIBRIL_ORGANIZATION,1,1
GO_POSITIVE_REGULATION_OF_NEURON_DEATH,6.939381247511242e-5,12
GO_RESPONSE_TO_ESTRADIOL,0.5450717389101933,5
GO_CORONARY_VASCULATURE_DEVELOPMENT,1,1
GO_CARTILAGE_DEVELOPMENT,0.6961084443243972,5
GO_NEURON_PROJECTION_EXTENSION,0.021251306112862283,10
GO_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,0.002303675609005159,9
GO_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,1,0
GO_RESPONSE_TO_MUSCLE_STRETCH,8.407879504700434e-5,6
GO_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,0.5557416876321177,1
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,3.037732849672115e-4,13
GO_RESPONSE_TO_COLD,0.5672802746302353,2
GO_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,0.7769076987193272,1
GO_CIRCULATORY_SYSTEM_PROCESS,0.13775118167564956,18
GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS,1,0
GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,1,0
GO_RESPONSE_TO_COCAINE,0.147754424665486,4
GO_CELL_CHEMOTAXIS,0.3446948978979783,11
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.8554066014833287,1
GO_RIBONUCLEOTIDE_CATABOLIC_PROCESS,1,0
GO_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION,0.5906121810691727,1
GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION,1,0
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,1,0
GO_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY,1,0
GO_REGULATION_OF_PROSTAGLANDIN_SECRETION,1,0
GO_REGULATION_OF_PODOSOME_ASSEMBLY,0.04409919325901436,3
GO_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,1,0
GO_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,0.5672802746302353,2
GO_RESPONSE_TO_AMINE,0.3308650075687283,3
GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT,0.7941754106221584,2
GO_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION,0.3308650075687283,3
GO_PROTEIN_HOMOTETRAMERIZATION,0.5783259035949639,3
GO_HEART_TRABECULA_MORPHOGENESIS,1,0
GO_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY,1,0
GO_VESICLE_LOCALIZATION,0.004610137822242472,14
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,0.09123587133690805,3
GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT,1,0
GO_FOREBRAIN_MORPHOGENESIS,0.6248424326797761,1
GO_TELOMERE_CAPPING,0.031184377718441913,5
GO_PROSTATE_GLAND_MORPHOGENESIS,0.1122707218791075,3
GO_NEGATIVE_REGULATION_OF_AXON_EXTENSION,0.2731372051851374,3
GO_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,2.9740655965381337e-4,10
GO_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,0.07056576441332695,12
GO_MYELOID_CELL_DEVELOPMENT,0.18870119351057021,4
GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,0.08793363261547206,12
GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS,0.06608752160674294,5
GO_INTRACELLULAR_PROTEIN_TRANSPORT,5.2423407555769273e-5,35
GO_REGULATION_OF_HISTONE_DEACETYLATION,0.4206453264609167,2
GO_REGULATION_OF_PHOSPHATASE_ACTIVITY,1,3
GO_NEUROTRANSMITTER_UPTAKE,1,0
GO_MICROTUBULE_ANCHORING,0.7482748899184879,1
GO_CELL_DIVISION,0.0015961617825594194,26
GO_REGULATION_OF_MRNA_CATABOLIC_PROCESS,0.3893234487646085,6
GO_INTERMEDIATE_FILAMENT_ORGANIZATION,0.2600303274011024,2
GO_NEGATIVE_REGULATION_OF_CELL_DIVISION,0.6248424326797761,1
GO_CELLULAR_RESPONSE_TO_UV,6.687671962606892e-4,9
GO_REGULATION_OF_NUCLEAR_DIVISION,0.3220712590435224,8
GO_RESPONSE_TO_ACID_CHEMICAL,9.724650640104282e-4,19
GO_RESPONSE_TO_PROSTAGLANDIN_E,0.147754424665486,3
GO_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.7178451215188324,2
GO_RESPONSE_TO_STEROID_HORMONE,0.26893172123372727,13
GO_POSITIVE_REGULATION_OF_RNA_SPLICING,0.968177778296583,1
GO_RESPONSE_TO_IMMOBILIZATION_STRESS,0.968177778296583,1
GO_RESPONSE_TO_INTERLEUKIN_4,0.07247882513201288,4
GO_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,1,0
GO_CARDIAC_CHAMBER_MORPHOGENESIS,1,3
GO_REGULATION_OF_CARTILAGE_DEVELOPMENT,0.8359444435914014,2
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,0.7482748899184879,2
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,0.6123170708312481,3
GO_RESPONSE_TO_PEPTIDE,1.0404023067936995e-9,38
GO_DNA_DEPENDENT_DNA_REPLICATION,0.004866094319267165,10
GO_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,1,0
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.0026529754744366633,11
GO_STEROL_HOMEOSTASIS,1,0
GO_EMBRYONIC_AXIS_SPECIFICATION,0.38480470142195006,2
GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,0.029856451645439343,7
GO_CELLULAR_RESPONSE_TO_LIPID,5.80691357783227e-6,34
GO_LIPOPROTEIN_METABOLIC_PROCESS,0.6914961871364044,1
GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.719992227829117,1
GO_IRON_COORDINATION_ENTITY_TRANSPORT,1,0
GO_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS,0.3308650075687283,2
GO_REGULATION_OF_COAGULATION,0.4527821177011699,4
GO_MEMBRANE_BIOGENESIS,1,1
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT,0.9725831557521463,2
GO_FORMATION_OF_PRIMARY_GERM_LAYER,0.6248424326797761,4
GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,0.44740771179028255,3
GO_ENERGY_RESERVE_METABOLIC_PROCESS,5.912239896020639e-4,9
GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS,0.07855032900432488,2
GO_REGULATION_OF_ACTIN_NUCLEATION,0.8779129136260913,1
GO_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,0.5201640341682086,1
GO_EPITHELIAL_CELL_DEVELOPMENT,0.09123587133690805,9
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.04419092773063978,5
GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE,0.6563439224933438,1
GO_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,1,0
GO_PHOTOPERIODISM,0.1122707218791075,3
